OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice,CouponWasMissing,TotalPrice_Capped,OrderMonth,OrderDayOfWeek,IsWeekend,UsedCoupon,CartConversionRatio,OrderValueCategory,TotalPrice_Log
ORD200000,2023-01-04,C72649,Monitor,5,570.62,928 Main St,Debit Card,Shipped,TRK37947903,7,SAVE10,Instagram,2853.1,0,2853.1,1,Wednesday,0,1,0.714,High,7.956511835965343
ORD200001,2024-08-23,C75739,Phone,2,151.35,823 Main St,Online,Shipped,TRK91186779,3,SAVE10,Referral,302.7,0,302.7,8,Friday,0,1,0.667,Low,5.716040372051703
ORD200002,2024-02-27,C81728,Tablet,5,550.68,512 Main St,Credit Card,Cancelled,TRK42903982,8,FREESHIP,Email,2753.4,0,2753.4,2,Tuesday,0,1,0.625,High,7.920954912024314
ORD200003,2023-10-15,C33540,Chair,1,273.19,275 Main St,Debit Card,Returned,TRK62788070,5,SAVE10,Facebook,273.19,0,273.19,10,Sunday,1,1,0.2,Low,5.613821296733053
ORD200004,2025-05-08,C81840,Printer,4,626.01,668 Main St,Online,Delivered,TRK29241424,8,SAVE10,Email,2504.04,0,2504.04,5,Thursday,0,1,0.5,High,7.826059981455349
ORD200005,2023-10-23,C37249,Phone,2,245.86,934 Main St,Credit Card,Shipped,TRK72976927,4,SAVE10,Instagram,491.72,0,491.72,10,Monday,0,1,0.5,Low,6.199941061378788
ORD200006,2025-06-17,C83492,Laptop,1,664.42,986 Main St,Gift Card,Returned,TRK96417362,6,SAVE10,Facebook,664.42,0,664.42,6,Tuesday,0,1,0.167,Medium,6.500418420241177
ORD200007,2023-05-12,C41460,Monitor,5,149.55,706 Main St,Cash,Shipped,TRK78809193,9,FREESHIP,Facebook,747.75,0,747.75,5,Friday,0,1,0.556,Medium,6.618405149429659
ORD200008,2025-04-02,C26817,Phone,2,134.28,904 Main St,Gift Card,Cancelled,TRK61042692,2,FREESHIP,Email,268.56,1,268.56,4,Wednesday,0,0,1.0,Low,5.596791000078016
ORD200009,2023-11-21,C31946,Desk,4,509.38,102 Main St,Credit Card,Shipped,TRK33478363,6,SAVE10,Google,2037.52,0,2037.52,11,Tuesday,0,1,0.667,High,7.619979333346818
ORD200010,2023-12-29,C43443,Tablet,5,625.97,333 Main St,Credit Card,Returned,TRK98859248,9,WINTER15,Instagram,3129.85,0,3129.85,12,Friday,0,1,0.556,High,8.049059812162172
ORD200011,2024-02-17,C93861,Monitor,3,49.14,831 Main St,Online,Returned,TRK48234646,7,SAVE10,Email,147.42,0,147.42,2,Saturday,1,1,0.429,Low,5.000046092541988
ORD200012,2024-10-15,C38785,Monitor,2,180.5,179 Main St,Debit Card,Pending,TRK20419991,6,FREESHIP,Referral,361.0,0,361.0,10,Tuesday,0,1,0.333,Low,5.8916442118257715
ORD200013,2023-08-30,C88348,Laptop,3,201.49,903 Main St,Credit Card,Returned,TRK81913874,4,FREESHIP,Facebook,604.47,0,604.47,8,Wednesday,0,1,0.75,Medium,6.406005015935819
ORD200014,2023-03-27,C98474,Tablet,2,393.33,980 Main St,Debit Card,Pending,TRK79186539,3,SAVE10,Instagram,786.66,0,786.66,3,Monday,0,1,0.667,Medium,6.669066524665798
ORD200015,2023-07-17,C39416,Printer,1,473.96,942 Main St,Cash,Delivered,TRK54930938,3,FREESHIP,Google,473.96,1,473.96,7,Monday,0,0,0.333,Low,6.16323058996242
ORD200016,2023-01-24,C28976,Printer,2,533.81,914 Main St,Credit Card,Pending,TRK13194259,3,FREESHIP,Email,1067.62,0,1067.62,1,Tuesday,0,1,0.667,Medium,6.974123375425638
